	run	hidden_size	nlayers	dropout	embedding_size	alpha	max_rank	shuffle_labels	shuffle_input	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	train_norm	dev_norm	test_norm	train_rank	dev_rank	test_rank	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
26	26	57	4	0.0	300	0.10664094190766783	26	False	False	4.6688	4.6579	4.6614	0.1229	0.1325	0.1333	4.4086	4.4086	4.4086	40.0	40.0	40.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
27	27	968	3	0.22	300	0.12866277958043645	27	False	False	4.7323	4.7214	4.7243	0.1229	0.1325	0.1333	3.8674	3.8674	3.8674	39.0	39.0	39.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
28	28	268	4	0.37	300	0.15523222650918542	28	False	False	4.8134	4.8029	4.8052	0.1229	0.1325	0.1333	3.2964	3.2964	3.2964	42.0	42.0	42.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
29	29	270	0	0.04	300	0.1872883846095852	29	False	False	4.9173	4.9075	4.9091	0.1229	0.1325	0.1333	2.6901	2.6901	2.6901	40.0	40.0	40.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
30	30	596	0	0.43	300	0.22596428459777515	30	False	False	5.0685	5.0605	5.0615	0.1229	0.1325	0.1333	1.9579	1.9579	1.9579	40.0	40.0	40.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
31	31	694	3	0.18	300	0.2726269331663144	31	False	False	5.3008	5.2962	5.2967	0.1229	0.1325	0.1333	1.0303	1.0303	1.0303	41.0	41.0	41.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
32	32	837	4	0.09	300	0.32892563008340914	32	False	False	5.5502	5.5496	5.5497	0.1229	0.1325	0.1333	0.1853	0.1853	0.1853	47.0	47.0	47.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
33	33	487	0	0.14	300	0.3968502629920497	33	False	False	5.5726	5.5724	5.5724	0.1229	0.1325	0.1333	0.1125	0.1125	0.1125	48.0	48.0	48.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
34	34	418	5	0.37	300	0.4788016403492869	34	False	False	5.5845	5.5844	5.5844	0.1229	0.1325	0.1333	0.0624	0.0624	0.0624	38.0	38.0	38.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
35	35	407	5	0.35000000000000003	300	0.577676348436136	35	False	False	5.5845	5.5845	5.5845	0.1229	0.1325	0.1334	0.0737	0.0737	0.0737	47.0	47.0	47.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
36	36	657	2	0.11	300	0.6969691317244994	36	False	False	5.5847	5.5847	5.5847	0.2127	0.2207	0.2219	0.0736	0.0736	0.0736	48.0	48.0	48.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
37	37	442	1	0.41	300	0.8408964152537145	37	False	False	5.5846	5.5846	5.5846	0.1229	0.1325	0.1334	0.0738	0.0738	0.0738	47.0	47.0	47.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
38	38	398	4	0.23	300	1.0145453349375229	38	False	False	5.5846	5.5846	5.5846	0.1299	0.1271	0.1285	0.0641	0.0641	0.0641	40.0	40.0	40.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
39	39	369	4	0.29	300	1.2240535433046549	39	False	False	5.5848	5.5848	5.5848	0.1689	0.1763	0.1782	0.0608	0.0608	0.0608	38.0	38.0	38.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
40	40	75	4	0.33	300	1.4768261459394991	40	False	False	5.5848	5.5848	5.5848	0.127	0.1361	0.1368	0.0613	0.0613	0.0613	39.0	39.0	39.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
41	41	179	0	0.02	300	1.7817974362806772	41	False	False	5.5848	5.5848	5.5848	0.1465	0.1546	0.153	0.0739	0.0739	0.0739	48.0	48.0	48.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
42	42	442	4	0.19	300	2.1497466798413916	42	False	False	5.5849	5.5849	5.5849	0.1277	0.1326	0.1295	0.0607	0.0607	0.0607	39.0	39.0	39.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
43	43	111	1	0.22	300	2.5936791093020197	43	False	False	5.5849	5.5849	5.5849	0.0843	0.0854	0.0878	0.0583	0.0583	0.0583	36.0	36.0	36.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
44	44	242	1	0.45	300	3.1292855968155457	44	False	False	5.5849	5.5849	5.5849	0.1293	0.1382	0.1393	0.0606	0.0606	0.0606	40.0	40.0	40.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
45	45	107	3	0.21	300	3.775497250726772	45	False	False	5.5849	5.5849	5.5849	0.0729	0.0692	0.07	0.0629	0.0629	0.0629	42.0	42.0	42.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
46	46	150	2	0.2	300	4.555154539026766	46	False	False	5.5849	5.5849	5.5849	0.1055	0.1156	0.113	0.0709	0.0709	0.0709	48.0	48.0	48.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
47	47	38	1	0.2	300	5.495814589832351	47	False	False	5.5849	5.5849	5.5849	0.0757	0.0735	0.0735	0.0606	0.0606	0.0606	48.0	48.0	48.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
48	48	248	1	0.49	300	6.6307252030723465	48	False	False	5.5849	5.5849	5.5849	0.0409	0.0371	0.0377	0.0602	0.0602	0.0602	40.0	40.0	40.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
49	49	670	0	0.45	300	8.0	48	False	False	5.5849	5.5849	5.5849	0.04	0.0397	0.0412	0.0619	0.0619	0.0619	45.0	45.0	45.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
0	0	776	0	0.15	212	0.0	1	False	False	0.6729	1.314	1.3221	0.8619	0.734	0.7334	657.0795	657.0795	657.0795	48.0	48.0	48.0	onehot	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
1	1	433	2	0.27	103	0.0009765625	1	False	False	0.7308	1.3427	1.3543	0.8549	0.7337	0.7286	295.4026	295.4026	295.4026	46.0	46.0	46.0	onehot	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
2	2	310	5	0.5	113	0.0011782270808598852	2	False	False	0.7238	1.3301	1.3449	0.8573	0.7357	0.731	259.7323	259.7323	259.7323	46.0	46.0	46.0	onehot	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
3	3	300	1	0.44	99	0.001421536311369323	3	False	False	0.7645	1.359	1.3683	0.8506	0.7323	0.7274	239.8312	239.8312	239.8312	44.0	44.0	44.0	onehot	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
4	4	1009	2	0.1	148	0.0017150900003645502	4	False	False	0.789	1.3911	1.392	0.8498	0.7306	0.7252	236.6379	236.6379	236.6379	45.0	45.0	45.0	onehot	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
5	5	657	3	0.5	165	0.0020692638561704995	5	False	False	0.7808	1.375	1.3878	0.8527	0.7309	0.7265	200.3332	200.3332	200.3332	45.0	45.0	45.0	onehot	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
6	6	455	2	0.49	60	0.0024965762178914648	6	False	False	0.8573	1.4287	1.4418	0.8379	0.7225	0.7172	164.7417	164.7417	164.7417	40.0	40.0	40.0	onehot	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
7	7	103	1	0.44	84	0.0030121305183748843	7	False	False	0.8929	1.4463	1.466	0.8335	0.7196	0.7135	156.0128	156.0128	156.0128	41.0	41.0	41.0	onehot	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
8	8	203	4	0.05	238	0.0036341491177818244	8	False	False	0.8869	1.461	1.4736	0.8398	0.7221	0.7154	150.9843	150.9843	150.9843	45.0	45.0	45.0	onehot	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
